Date,Item Code,Sales Qty,Price in USD,Purchase Date,ItemCode,Item Description,Purchase Qty,Purchase Amount,Supplier,Code,Group,Category,"Quantity
On Hand","Retail
Price","Opening
Cost USD",Color,Size,month_name,year
4/24/2021,1081,1,24.08,4/24/2021,1081,AM0126-464 T-SHIRT MEN COLUMBIA XL,1,9,Ali Taleb,1081,T-SHIRT,MEN,0,28,9,BLUE,XL,April,2021
4/24/2021,650,1,16.36,6/4/2021,650,1326579 SPORT T-SHIRT MEN UNDERARMOUR L,1,7,Ali Taleb,650,SPORT T-SHIRT,MEN,0,20,7,WHITE,L,June,2021
4/24/2021,632,1,22.02,3/22/2021,632,AQ7732-015 SPORT TSHIRT MEN NIKE XL,1,6,Ali Taleb,632,SPORT TSHIRT,MEN,0,25,6,GREY,XL,March,2021
4/24/2021,633,1,20.45,3/22/2021,633,1345317 TSHIRT RN MEN UNDERARMOUR M,1,7,Ali Taleb,633,TSHIRT RN,MEN,0,25,7,BLUE,M,March,2021
4/24/2021,599,1,20.06,10/2/2021,599,SOCKS-PUMA SOCKS MEN PUMA 6 12,35,420,Ali Taleb,599,SOCKS,MEN,0,22,12,BLACK\WHITE,6 12,October,2021
4/24/2021,634,1,16.64,3/22/2021,634,CD1103-657 TSHIRT RN MEN NIKE XL,1,7,Ali Taleb,634,TSHIRT RN,MEN,0,25,7,RED,XL,March,2021
4/24/2021,701,1,4.89,8/4/2021,701,840080204-P1 BOXER MEN PAIR OF THEIVES L,2,4,Ali Taleb,701,BOXER,MEN,0,7,2,MULTI,L,August,2021
4/24/2021,917,1,14.68,8/4/2021,917,A577809636 T-SHIRT MEN SPEEDO S,1,5,Ali Taleb,917,T-SHIRT,MEN,0,18,5,GREY,S,August,2021
4/24/2021,627,1,17.62,3/22/2021,627,CB0DS009 SHORT MEN CALVIN KLEIN L,1,7,Ali Taleb,627,SHORT,MEN,0,25,7,BLUE,L,March,2021
4/24/2021,852,1,9.79,8/4/2021,852,564601 SHIRT MEN GOODFELLOW XL,1,6,Ali Taleb,852,SHIRT,MEN,0,18,6,BLUE,XL,August,2021
4/24/2021,599,1,17.62,10/2/2021,599,SOCKS-PUMA SOCKS MEN PUMA 6 12,35,420,Ali Taleb,599,SOCKS,MEN,0,22,12,BLACK\WHITE,6 12,October,2021
4/26/2021,755,1,19.44,8/4/2021,755,70ABTBL COTTON PANT MEN WRANGLER 36,1,7,Ali Taleb,755,COTTON PANT,MEN,0,25,7,BLACK,36,August,2021
4/26/2021,784,1,15.55,8/4/2021,784,42081235 COTTON PANT MEN WRANGLER 36,1,7,Ali Taleb,784,COTTON PANT,MEN,0,20,7,OILY,36,August,2021
4/27/2021,784,1,19.59,8/4/2021,784,42081235 COTTON PANT MEN WRANGLER 36,1,7,Ali Taleb,784,COTTON PANT,MEN,0,20,7,OILY,36,August,2021
4/27/2021,1034,1,9.8,8/4/2021,1034,9PMTA3-P3 TAGLESS T-SHIRT MEN HANES M,2,6,Ali Taleb,1034,TAGLESS T-SHIRT,MEN,0,10,3,BLACK - GREY,M,August,2021
4/27/2021,747,1,24.49,8/4/2021,747,4100458365 JEANS PANT MEN LEVIS 40,1,9,Ali Taleb,747,JEANS PANT,MEN,0,25,9,BLUE,40,August,2021
4/27/2021,584,1,46.3,10/2/2021,584,CN6359 SHOES MEN REEBOK 43,1,37,Ali Taleb,584,SHOES,MEN,0,60,37,GREY,43,October,2021
4/27/2021,1084,1,24.49,4/24/2021,1084,AM0126-100 T-SHIRT MEN COLUMBIA M,1,9,Ali Taleb,1084,T-SHIRT,MEN,0,28,9,WHITE,M,April,2021
4/27/2021,1080,1,24.49,4/24/2021,1080,AM0126-464 T-SHIRT MEN COLUMBIA M,1,9,Ali Taleb,1080,T-SHIRT,MEN,0,28,9,BLUE,M,April,2021
4/27/2021,1154,1,24.49,4/24/2021,1154,1328495-409 SHIRT MEN UNDERARMOUR L,1,6,Ali Taleb,1154,SHIRT,MEN,0,28,6,GREY,L,April,2021
4/27/2021,755,-1,-19.05,8/4/2021,755,70ABTBL COTTON PANT MEN WRANGLER 36,1,7,Ali Taleb,755,COTTON PANT,MEN,0,25,7,BLACK,36,August,2021
